# Logfile created on 2014-10-13 00:00:52 +0800 by logger.rb/41954
00:26:08 | GET  | /tzgg/190 | _200_ |  | 53 ms | 127.0.0.1 | localhost | http://localhost:3000/tzgg | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:28:26 | GET  | /tzgg/190 | _200_ |  | 76 ms | 127.0.0.1 | localhost | http://localhost:3000/tzgg | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:28:40 | GET  | /tzgg/190 | _200_ |  | 87 ms | 127.0.0.1 | localhost | http://localhost:3000/tzgg | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:36:51 | GET  | /tzgg/190 | _200_ |  | 57 ms | 127.0.0.1 | localhost | http://localhost:3000/tzgg | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:43:03 | GET  | /tzgg/190 | _200_ |  | 77 ms | 127.0.0.1 | localhost |  | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:43:36 | GET  | /tzgg/190 | _200_ |  | 203ms | 127.0.0.1 | localhost |  | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:44:41 | GET  | /tzgg/190 | _200_ |  | 88 ms | 127.0.0.1 | localhost |  | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:47:30 | GET  | /tzgg/190 | _200_ |  | 80 ms | 127.0.0.1 | localhost |  | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:47:55 | GET  | /tzgg/190 | _200_ |  | 69 ms | 127.0.0.1 | localhost |  | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:48:09 | GET  | /tzgg/190 | _200_ |  | 394ms | 127.0.0.1 | localhost |  | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
00:48:49 | GET  | /zwh | _200_ |  | 5  ms | 127.0.0.1 | localhost | http://localhost:3000/tzgg/190 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.153 Safari/537.36
